,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
252,1970,40,"+ 1h 17' 24""",Bic,Alain Vasseur ,FRA,24.0,1,17,0
253,1970,41,"+ 1h 18' 21""",Peugeot–BP–Michelin,Robert Bouloux ,FRA,21.0,1,18,0
254,1970,42,"+ 1h 18' 34""",Frimatic–de Gribaldy,Pierre Gautier ,FRA,34.0,1,18,0
255,1970,51,"+ 1h 35' 59""",Sonolor–Lejeune,Walter Ricci ,FRA,59.0,1,35,0
256,1970,52,"+ 1h 36' 27""",Peugeot–BP–Michelin,Christian Raymond ,FRA,27.0,1,36,0
257,1970,58,"+ 1h 41' 07""",Peugeot–BP–Michelin,Jean-Pierre Parenteau ,FRA,7.0,1,41,0
258,1970,61,"+ 1h 47' 26""",Frimatic–de Gribaldy,Maurice Izier ,FRA,26.0,1,47,0
259,1970,62,"+ 1h 50' 11""",Fagor–Mercier–Hutchinson,Cyrille Guimard ,FRA,11.0,1,50,0
260,1970,64,"+ 1h 53' 01""",Peugeot–BP–Michelin,Jean-Pierre Danguillaume ,FRA,1.0,1,53,0
261,1971,20,"+ 1h 03' 49""",Peugeot–BP–Michelin,Jean Dumont ,FRA,49.0,1,3,0
262,1971,23,"+ 1h 10' 19""",Fagor–Mercier–Hutchinson,Michel Périn ,FRA,19.0,1,10,0
263,1971,26,"+ 1h 14' 52""",Fagor–Mercier–Hutchinson,Jean-Pierre Genet ,FRA,52.0,1,14,0
264,1971,28,"+ 1h 16' 41""",Sonolor–Lejeune,Bernard Guyot ,FRA,41.0,1,16,0
